"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000204282.3",937.02153187905,2.59433557774037,0.338016702597155,7.67516977062604,1.65199710924786e-14,3.94090070890745e-10,"TNRC6C-AS1","100131096"
"ENSG00000007312.8",917.110104771954,3.65081231135074,0.479826464379097,7.6086097420136,2.7705994860148e-14,3.94090070890745e-10,"CD79B","974"
"ENSG00000263264.1",103.176792371145,3.64957180715496,0.50241657249587,7.26403547762143,3.75709398540308e-13,2.85935892370379e-09,NA,NA
"ENSG00000009790.10",1347.97228671104,2.99022371300855,0.412167773656653,7.25487023519573,4.0204709275925e-13,2.85935892370379e-09,"TRAF3IP3","80342"
"ENSG00000227507.2",763.947358106319,4.29290262246038,0.594870619741057,7.21653159527202,5.33302768973804e-13,2.88551453992768e-09,"LTB","4050"
"ENSG00000122986.9",307.411424378154,2.21316346791236,0.307445968920849,7.19854443263863,6.08587149872261e-13,2.88551453992768e-09,"HVCN1","84329"
"ENSG00000169442.4",909.582054550351,3.24322295065791,0.45494212458112,7.12886931199007,1.01196758871383e-12,4.11263628053299e-09,"CD52","1043"
"ENSG00000100721.6",344.85262368735,7.23800759649761,1.0229969236024,7.07529751996669,1.49128459787653e-12,5.30300803004896e-09,"TCL1A","8115"
"ENSG00000117322.12",949.832144788634,5.70625711428647,0.810795606704015,7.03784907947777,1.95229973395409e-12,6.15377641653415e-09,"CR2","1380"
"ENSG00000112486.10",201.350102297199,2.27708094616773,0.324608692289159,7.01484895586013,2.30197502945605e-12,6.15377641653415e-09,"CCR6","1235"
"ENSG00000123219.8",95.2816988479771,2.17189075245352,0.309817894414608,7.01021726507196,2.37948328817055e-12,6.15377641653415e-09,"CENPK","64105"
"ENSG00000269404.2",401.280271854872,4.46338372038401,0.644803096243411,6.92208791550079,4.45034894633029e-12,1.05502939021003e-08,"SPIB","6689"
"ENSG00000104921.10",369.973880230863,5.2732724074228,0.767049007878524,6.87475292094755,6.20973927965048e-12,1.35888202328844e-08,"FCER2","2208"
"ENSG00000188404.4",1103.02031078593,3.10306490886049,0.456048905940925,6.80423715184276,1.01586078211238e-11,2.06422910925236e-08,"SELL","6402"
"ENSG00000161929.10",232.787242442728,3.13034755539503,0.463000994579099,6.76099531544363,1.37046955821729e-11,2.59914119947769e-08,"SCIMP","388325"
"ENSG00000131401.7",526.64413965943,3.38585624355735,0.501576786406848,6.75042453183021,1.47413182130983e-11,2.62100637828889e-08,"NAPSB","256236"
"ENSG00000068831.14",3523.10871223544,2.71221557293216,0.402487293975311,6.73863650736395,1.59879810237104e-11,2.67544755389713e-08,"RASGRP2","10235"
"ENSG00000102879.11",3860.92249903188,2.94189258348243,0.440143812374926,6.68393488848243,2.32610188550888e-11,3.58776322849763e-08,"CORO1A","11151"
"ENSG00000111913.11",1477.89543167256,2.28388701229373,0.341920545233048,6.67958402656694,2.39621419226149e-11,3.58776322849763e-08,"RIPOR2","9750"
"ENSG00000214900.4",143.536497540823,2.6274772130517,0.395159478807729,6.64915648987921,2.94777457689589e-11,4.19291455817672e-08,"LINC01588","283551"
"ENSG00000188822.6",195.199164884402,3.38215166017363,0.509657167226416,6.63613086926552,3.2202395930014e-11,4.36235123531924e-08,"CNR2","1269"
"ENSG00000247982.2",1727.17361280051,2.84435344828172,0.431828955983492,6.5867594307188,4.4952975460999e-11,5.81282839052045e-08,"LINC00926","283663"
"ENSG00000245164.2",911.155808032163,3.2654689234985,0.496900412922257,6.5716768160734,4.97517588905315e-11,6.15364363877322e-08,"LINC00861","100130231"
"ENSG00000266088.1",96.9243265742887,3.80708416495012,0.583177138512563,6.52817799864442,6.65745522721782e-11,7.89130359599552e-08,NA,NA
"ENSG00000198796.6",129.331595106929,4.38851988249714,0.676109243839759,6.49084437534659,8.53566157271509e-11,9.71290001682395e-08,"ALPK2","115701"
"ENSG00000101057.11",323.278892319171,4.12159550530397,0.637030430884264,6.47001352758419,9.79941440862869e-11,1.05163679768591e-07,"MYBL2","4605"
"ENSG00000223823.1",12.6767144110506,3.2031314778656,0.495285906374562,6.46723727980101,9.98108602978053e-11,1.05163679768591e-07,"LINC01342","254099"
"ENSG00000172794.15",443.676547042928,2.58134980827578,0.401640954560574,6.42700844862788,1.3013959110213e-10,1.30385219020305e-07,"RAB37","326624"
"ENSG00000007129.13",124.207002464134,2.03094930667527,0.316228129439686,6.42241824050832,1.34126293525509e-10,1.30385219020305e-07,"CEACAM21","90273"
"ENSG00000205744.5",1677.53722370071,2.1674818091262,0.337685602084384,6.418638507971,1.37498473376306e-10,1.30385219020305e-07,"DENND1C","79958"
"ENSG00000128218.7",155.234364085547,3.87501331962203,0.605568647764648,6.39896621782843,1.56432445018927e-10,1.43554522448336e-07,"VPREB3","29802"
"ENSG00000118308.10",1136.2630220182,2.54859013976276,0.398762459151199,6.39124892846649,1.64536270532096e-10,1.43937646723214e-07,"LRMP","4033"
"ENSG00000144354.9",218.399901194507,2.66990824024351,0.417891127630359,6.38900436911202,1.66969289295067e-10,1.43937646723214e-07,"CDCA7","83879"
"ENSG00000170054.10",55.1950010515164,8.22001151795476,1.29273556362212,6.35861791790045,2.03577077570148e-10,1.68639909011144e-07,"SERPINA9","327657"
"ENSG00000137078.4",173.334630613391,3.24992346633901,0.511340008781154,6.35569955514655,2.07480203015679e-10,1.68639909011144e-07,"SIT1","27240"
"ENSG00000112195.8",58.8501144985633,3.78864342963531,0.598670065076616,6.32843305627859,2.47663259571371e-10,1.95709011341287e-07,"TREML2","79865"
